,period,num_topics,perplexity,coherence_u
49,2004.0,4.0,-12.355217133203588,-9.739019040001997
50,2004.0,5.0,-12.822352398788208,-10.439254528717282
51,2004.0,6.0,-13.278703517418748,-15.653846741112352
52,2004.0,7.0,-13.7199349946973,-15.93183815947402
53,2004.0,8.0,-14.134539857187834,-17.33209080568349
54,2004.0,9.0,-14.557018660315004,-18.01763270058134
55,2004.0,10.0,-14.961845676991302,-18.928563626349938
56,2004.0,11.0,-15.34752786908643,-18.49957105025612
57,2004.0,12.0,-15.720953632239342,-18.918078124703946
58,2004.0,13.0,-16.0958865700392,-19.53628876226635
59,2004.0,14.0,-16.48621241991994,-19.408458130112532
60,2004.0,15.0,-16.785512757231327,-18.97322056977201
61,2004.0,16.0,-17.186563031407925,-19.254750839266382
62,2005.0,4.0,-12.42598569756447,-13.691013532487268
63,2005.0,5.0,-12.912025971211122,-15.865392301466803
64,2005.0,6.0,-13.379153649408446,-18.77139504875933
65,2005.0,7.0,-13.83011888616893,-18.53076119632873
66,2005.0,8.0,-14.24711193891129,-19.290420345796058
67,2005.0,9.0,-14.679918455402236,-19.57107979348187
68,2005.0,10.0,-15.101008799632718,-20.25645287657553
69,2005.0,11.0,-15.495591152931645,-19.67492255644591
70,2005.0,12.0,-15.898852107911459,-19.655860256106642
71,2005.0,13.0,-16.284335507858316,-19.617371960377962
72,2005.0,14.0,-16.647286431498628,-20.10399686069506
73,2005.0,15.0,-17.063904785096057,-20.184524401495292
74,2006.0,4.0,-12.340968641960744,-11.05038330725932
75,2006.0,5.0,-12.816898517098807,-11.603225946032824
76,2006.0,6.0,-13.276510346344232,-14.78192007857875
77,2006.0,7.0,-13.725900144748854,-16.30168550214361
78,2006.0,8.0,-14.113252710205002,-17.240252872642337
79,2006.0,9.0,-14.525909174293492,-18.0517371436646
80,2006.0,10.0,-14.933418850131119,-18.644920507745596
81,2006.0,11.0,-15.334984269856704,-19.232865789283
82,2006.0,12.0,-15.710629729080194,-19.344282518588585
83,2006.0,13.0,-16.06980327214435,-19.094345386196984
84,2006.0,14.0,-16.446869615853387,-19.18426802105413
85,2006.0,15.0,-16.877638996423222,-19.6954356608686
86,2006.0,16.0,-17.180252541834445,-19.3110207549925
87,2007.0,3.0,-11.928051974501862,-7.929566599014428
88,2007.0,4.0,-12.444036719254262,-11.097092393049174
89,2007.0,5.0,-12.92250855316841,-14.602562497811135
